[2020-02-04T08:49:14.466] [INFO] http - [::1 GET / 304 24ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:49:14.508] [INFO] http - [::1 GET /img/a7.jpg 404 3ms][http://localhost:8006/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:49:14.508] [INFO] http - [::1 GET /img/a4.jpg 404 3ms][http://localhost:8006/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:49:14.537] [INFO] http - [::1 GET /index_v1.html?v=4.0 404 4ms][http://localhost:8006/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:49:15.709] [INFO] http - [::1 GET / 304 4ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:49:15.775] [INFO] http - [::1 GET /img/a7.jpg 404 6ms][http://localhost:8006/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:49:15.782] [INFO] http - [::1 GET /img/a4.jpg 404 7ms][http://localhost:8006/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:49:15.810] [INFO] http - [::1 GET /index_v1.html?v=4.0 404 2ms][http://localhost:8006/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:49:16.493] [INFO] http - [::1 GET / 304 4ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:49:16.556] [INFO] http - [::1 GET /img/a7.jpg 404 2ms][http://localhost:8006/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
[2020-02-04T08:49:16.560] [INFO] http - [::1 GET /img/a4.jpg 404 3ms][http://localhost:8006/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36]
